capital_change,event_type,talent_value
2.0,lucky,0.57906497864431
1.0,lucky,0.5824646917264583
4.0,lucky,0.5263139882962876
0.0,unlucky,0.5547437488322823
-5.0,unlucky,0.6023450665177799
-2.5,unlucky,0.6023450665177799
0.0,lucky,0.5547437488322823
5.0,lucky,0.6587613328904643
1.0,lucky,0.6601749845223144
10.0,lucky,0.5150295229802144
-80.0,unlucky,0.6501588807062013
0.0,unlucky,0.3899434058060488
-2.0,unlucky,0.4575391636881444
0.0,unlucky,0.7471314137033332
0.0,unlucky,0.7929188047595209
-2.5,unlucky,0.5565605394941247
-1.0,unlucky,0.5673631684127454
-2.0,unlucky,0.6374105807688341
40.0,lucky,0.5034522547131055
80.0,lucky,0.6501588807062013
8.0,lucky,0.5263139882962876
0.0,lucky,0.6644145576379148
-1.0,unlucky,0.6374105807688341
-5.0,unlucky,0.46890952113691325
0.0,unlucky,0.6953709537466723
-20.0,unlucky,0.6242718002251384
-1.0,unlucky,0.4575391636881444
-2.0,unlucky,0.57906497864431
5.0,lucky,0.5729261225476586
0.0,lucky,0.6025213556044619
10.0,lucky,0.6713836767779474
20.0,lucky,0.8401752709670891
0.0,lucky,0.4991061458518361
40.0,lucky,0.4627655309956722
2.0,lucky,0.57906497864431
20.0,lucky,0.5508093538413341
-5.0,unlucky,0.5233527501082712
-5.0,unlucky,0.6541689673761464
-10.0,unlucky,0.569147868053149
-40.0,unlucky,0.4627655309956722
-40.0,unlucky,0.6054904880358961
-1.0,unlucky,0.5308952716519388
-0.5,unlucky,0.6374105807688341
1.0,lucky,0.5475070904299238
0.0,lucky,0.6025213556044619
0.0,lucky,0.5867158629553798
0.0,lucky,0.5709463105258009
4.0,lucky,0.7257039242348693
-1.0,unlucky,0.5475070904299238
-10.0,unlucky,0.7324134215793292
8.0,lucky,0.7257039242348693
4.0,lucky,0.7102825816851016
0.0,lucky,0.3899434058060488
-10.0,unlucky,0.5150295229802144
-1.0,unlucky,0.5595559313108717
-5.0,unlucky,0.6411188642683668
-5.0,unlucky,0.5891544982452148
0.0,unlucky,0.7471314137033332
0.0,unlucky,0.7929188047595209
-0.5,unlucky,0.5711583391471966
10.0,lucky,0.7324134215793292
20.0,lucky,0.6585440837695061
0.0,lucky,0.5711583391471966
-10.0,unlucky,0.6713836767779474
0.0,unlucky,0.6539973385908122
0.0,unlucky,0.6046211343336884
-5.0,unlucky,0.6360776895730251
5.0,lucky,0.5085735257047825
40.0,lucky,0.6054904880358961
-5.0,unlucky,0.4993973804420819
-40.0,unlucky,0.5034522547131055
-10.0,unlucky,0.6541098895495927
-0.5,unlucky,0.4575391636881444
-2.5,unlucky,0.760334960225036
-2.0,unlucky,0.5655451092972921
-1.0,unlucky,0.5824646917264583
-5.0,unlucky,0.6210129517207666
-1.0,unlucky,0.5565605394941247
-0.5,unlucky,0.5824646917264583
10.0,lucky,0.7440011034031011
40.0,lucky,0.8485314868663625
2.0,lucky,0.6023450665177799
10.0,lucky,0.7744770652611116
160.0,lucky,0.6501588807062013
1.0,lucky,0.5248181418807136
1.0,lucky,0.5833673627233299
-2.5,unlucky,0.6411188642683668
-2.5,unlucky,0.5891544982452148
0.0,unlucky,0.7471314137033332
0.0,unlucky,0.7929188047595209
